,school_name,school_id,num_sitters,average_300,grade,region_name,council_name,num_sitters_girls,num_sitters_boys,ratio_sitters_girls_boys,pct_passed,approx_marks_SD_300
288,AYALALIYO,PS0103054,48,129.9167,C,Arusha,Karatu,24,24,1.0,0.6666666666666666,33.18196711503499
289,AYATSERE,PS0103104,27,148.5556,C,Arusha,Karatu,13,14,0.9285714285714286,0.8518518518518519,30.469576001782418
290,BARAKTA,PS0103002,52,116.8269,D,Arusha,Karatu,29,23,1.2608695652173914,0.46153846153846156,29.911110915728585
291,BARAY-KHUSUMAYI,PS0103055,74,134.027,C,Arusha,Karatu,46,28,1.6428571428571428,0.6486486486486487,45.02193547123005
292,BASHAYKARATU,PS0103003,164,210.7134,B,Arusha,Karatu,77,87,0.8850574712643678,0.9939024390243902,34.284772037679346
293,BASSODAWISH,PS0103004,63,133.4286,C,Arusha,Karatu,42,21,2.0,0.6507936507936508,35.787227101058924
294,BONDELAFARU,PS0103083,28,153.4643,C,Arusha,Karatu,13,15,0.8666666666666667,0.9285714285714286,39.48378134320677
295,BUGER,PS0103005,62,129.9032,C,Arusha,Karatu,28,34,0.8235294117647058,0.6451612903225806,32.514560144002566
296,BWAWANI,PS0103006,155,166.2581,C,Arusha,Karatu,67,88,0.7613636363636364,0.9483870967741935,33.754700370265
297,CATHERINE,PS0103110,11,270.5455,A,Arusha,Karatu,6,5,1.2,1.0,17.17691729046006
298,CHANGARAWE,PS0103007,59,146.2203,C,Arusha,Karatu,27,32,0.84375,0.7627118644067796,38.93733502185081
299,CHARM MODERN,PS0103111,13,283.0,A,Arusha,Karatu,7,6,1.1666666666666667,1.0,0.0
300,CHEMCHEM,PS0103008,43,111.6744,D,Arusha,Karatu,19,24,0.7916666666666666,0.4186046511627907,32.48496760973809
301,COSTIGAN,PS0103097,58,261.1552,A,Arusha,Karatu,28,30,0.9333333333333333,1.0,25.568206908550124
302,DIRANGW,PS0103058,42,138.6905,C,Arusha,Karatu,20,22,0.9090909090909091,0.7619047619047619,27.884601851347334
303,DUMBECHAND,PS0103009,62,144.4516,C,Arusha,Karatu,28,34,0.8235294117647058,0.7258064516129032,39.010924588541364
304,DUUMA,PS0103087,32,141.1875,C,Arusha,Karatu,20,12,1.6666666666666667,0.71875,38.97114317029974
305,ENDABASH,PS0103010,70,136.5714,C,Arusha,Karatu,29,41,0.7073170731707317,0.6857142857142857,40.92801046735996
306,ENDABASH-LAJA,PS0103063,58,136.0345,C,Arusha,Karatu,21,37,0.5675675675675675,0.603448275862069,43.960559431417465
307,ENDABASH-MANGISA,PS0103059,41,137.9268,C,Arusha,Karatu,23,18,1.2777777777777777,0.6829268292682927,40.8868994726067
308,ENDAGESH,PS0103081,37,128.8378,C,Arusha,Karatu,22,15,1.4666666666666666,0.5945945945945946,34.77990906409819
309,ENDALLAH,PS0103011,93,117.6882,D,Arusha,Karatu,52,41,1.2682926829268293,0.45161290322580644,39.96593079548675
310,ENDAMAGHAN,PS0103012,103,180.0583,C,Arusha,Karatu,45,58,0.7758620689655172,0.9320388349514563,42.47301114749843
311,ENDAMARARIEK,PS0103013,91,121.3956,C,Arusha,Karatu,48,43,1.1162790697674418,0.4725274725274725,35.956742517193796
312,ENDASHANGWET,PS0103015,88,123.1932,C,Arusha,Karatu,44,44,1.0,0.5568181818181818,37.002817680153235
313,ENDESH,PS0103088,21,104.1429,D,Arusha,Karatu,11,10,1.1,0.2857142857142857,27.10523708715754
314,ENDONYAWE,PS0103014,80,120.3,D,Arusha,Karatu,41,39,1.0512820512820513,0.4875,35.49655559324559
315,ENDORO,PS0103065,108,188.9352,B,Arusha,Karatu,60,48,1.25,0.9722222222222222,38.11398842247808
316,EYASI,PS0103051,80,140.375,C,Arusha,Karatu,38,42,0.9047619047619048,0.7375,36.42715333374267
317,GAMDI,PS0103084,55,114.5273,D,Arusha,Karatu,29,26,1.1153846153846154,0.4,31.327031999286135
318,GANAKO,PS0103107,58,182.2759,B,Arusha,Karatu,28,30,0.9333333333333333,1.0,33.72163008093027
319,GEER,PS0103093,33,125.1818,C,Arusha,Karatu,17,16,1.0625,0.5454545454545454,36.47372225396919
320,GENDAA,PS0103017,56,117.5536,D,Arusha,Karatu,26,30,0.8666666666666667,0.44642857142857145,33.99992496990521
321,GETAMOCK,PS0103018,67,133.5522,C,Arusha,Karatu,36,31,1.1612903225806452,0.6567164179104478,31.458211469105006
322,GIDAMILANDA,PS0103098,8,113.25,D,Arusha,Karatu,2,6,0.3333333333333333,0.375,29.047375096555626
323,GIDBASSO,PS0103066,49,165.1633,C,Arusha,Karatu,30,19,1.5789473684210527,0.9183673469387755,34.24195458149281
324,GILALA,PS0103067,35,169.3143,C,Arusha,Karatu,14,21,0.6666666666666666,0.9428571428571428,34.45671641527162
325,GONGALI,PS0103019,64,130.6094,C,Arusha,Karatu,30,34,0.8823529411764706,0.59375,35.52617872780578
326,GYEKRUM ARUSHA,PS0103072,128,160.5547,C,Arusha,Karatu,68,60,1.1333333333333333,0.859375,39.48655433210729
327,GYEKURUM LAMBO,PS0103016,70,151.0429,C,Arusha,Karatu,40,30,1.3333333333333333,0.8857142857142857,28.685486624025447
328,GYETIGHI,PS0103020,60,206.6,B,Arusha,Karatu,27,33,0.8181818181818182,1.0,29.796906299144553
329,HARAA,PS0103080,36,131.9444,C,Arusha,Karatu,24,12,2.0,0.75,34.98150070522284
330,HAREABI,PS0103075,42,126.9762,C,Arusha,Karatu,20,22,0.9090909090909091,0.5714285714285714,34.52298849598449
331,HAYEDESH,PS0103078,44,149.6136,C,Arusha,Karatu,32,12,2.6666666666666665,0.8636363636363636,31.333978072025612
332,HAYMU,PS0103091,75,152.6267,C,Arusha,Karatu,37,38,0.9736842105263158,0.8533333333333334,33.90339216066735
333,HOT SPRING,PS0103116,11,281.8182,A,Arusha,Karatu,5,6,0.8333333333333334,1.0,0.0
334,JUHUDI,PS0103092,13,134.0769,C,Arusha,Karatu,7,6,1.1666666666666667,0.6923076923076923,34.53837587791331
335,KAINAM/RHOTIA,PS0103021,46,163.9565,C,Arusha,Karatu,27,19,1.4210526315789473,0.8695652173913043,39.92668138699296
336,KAMBI YA FARU,PS0103022,40,122.85,C,Arusha,Karatu,22,18,1.2222222222222223,0.5,30.0
337,KAMBI YA NYOKA,PS0103023,27,158.6667,C,Arusha,Karatu,9,18,0.5,0.8888888888888888,35.416394334464954
338,KAMBI YA SIMBA,PS0103053,125,130.672,C,Arusha,Karatu,62,63,0.9841269841269841,0.6,39.527005755559074
339,KANSAY,PS0103024,28,148.3214,C,Arusha,Karatu,17,11,1.5454545454545454,0.8214285714285714,35.85685828003181
340,KARATU,PS0103025,77,165.6493,C,Arusha,Karatu,37,40,0.925,0.961038961038961,29.997469955719723
341,KIBAONI,PS0103047,70,160.1857,C,Arusha,Karatu,37,33,1.121212121212121,0.9142857142857143,35.07939773439909
