,school_name,school_id,num_students,average_300,grade,WASICHANA,WAVULANA,JUMLA,region_name,council_name
11372,KUMBARA,PS1605012,82.0,120.4634,D,"[0, 3, 21, 23, 0]","[0, 6, 6, 19, 4]","[0, 9, 27, 42, 4]",Ruvuma,Namtumbo
11373,KWIZOMBE,PS1605013,59.0,135.3729,C,"[0, 2, 23, 8, 0]","[0, 1, 16, 7, 2]","[0, 3, 39, 15, 2]",Ruvuma,Namtumbo
11374,LIBANGO,PS1605014,103.0,162.0874,C,"[0, 7, 39, 5, 0]","[0, 21, 26, 4, 1]","[0, 28, 65, 9, 1]",Ruvuma,Namtumbo
11375,LIBOBI,PS1605015,42.0,204.6429,B,"[0, 25, 4, 0, 0]","[0, 10, 3, 0, 0]","[0, 35, 7, 0, 0]",Ruvuma,Namtumbo
11376,LIGERA,PS1605016,114.0,110.9123,D,"[0, 1, 20, 27, 1]","[0, 3, 17, 41, 4]","[0, 4, 37, 68, 5]",Ruvuma,Namtumbo
11377,LIGUNGA,PS1605017,92.0,117.0761,D,"[0, 0, 23, 29, 0]","[0, 0, 17, 23, 0]","[0, 0, 40, 52, 0]",Ruvuma,Namtumbo
11378,LIKONDE,PS1605018,40.0,110.675,D,"[0, 0, 6, 13, 2]","[0, 1, 7, 10, 1]","[0, 1, 13, 23, 3]",Ruvuma,Namtumbo
11379,LIKUSANGUSE,PS1605019,95.0,167.0737,C,"[0, 12, 37, 3, 0]","[0, 16, 24, 3, 0]","[0, 28, 61, 6, 0]",Ruvuma,Namtumbo
11380,LIKUYUSEKA MAGANGA,PS1605020,124.0,146.5403,C,"[1, 24, 25, 15, 0]","[0, 15, 15, 28, 1]","[1, 39, 40, 43, 1]",Ruvuma,Namtumbo
11381,LIMAMU,PS1605021,57.0,138.7719,C,"[0, 7, 14, 7, 3]","[0, 1, 17, 7, 1]","[0, 8, 31, 14, 4]",Ruvuma,Namtumbo
11382,LISIMONJI,PS1605022,81.0,105.2346,D,"[0, 0, 10, 30, 2]","[0, 0, 14, 25, 0]","[0, 0, 24, 55, 2]",Ruvuma,Namtumbo
11383,LITETE,PS1605023,23.0,147.8261,C,"[0, 0, 11, 0, 0]","[0, 1, 8, 3, 0]","[0, 1, 19, 3, 0]",Ruvuma,Namtumbo
11384,LITOLA,PS1605024,154.0,111.8312,D,"[0, 4, 37, 42, 1]","[0, 1, 20, 47, 2]","[0, 5, 57, 89, 3]",Ruvuma,Namtumbo
11385,LUEGU,PS1605025,81.0,121.1358,C,"[0, 12, 14, 16, 5]","[0, 4, 10, 14, 6]","[0, 16, 24, 30, 11]",Ruvuma,Namtumbo
11386,LUGONGORO,PS1605027,73.0,110.1096,D,"[0, 1, 13, 20, 0]","[0, 0, 12, 25, 2]","[0, 1, 25, 45, 2]",Ruvuma,Namtumbo
11387,LUHANGANO,PS1605026,78.0,119.141,D,"[0, 0, 17, 26, 0]","[0, 1, 21, 13, 0]","[0, 1, 38, 39, 0]",Ruvuma,Namtumbo
11388,LUMECHA,PS1605028,98.0,128.051,C,"[0, 2, 43, 10, 2]","[0, 2, 16, 21, 2]","[0, 4, 59, 31, 4]",Ruvuma,Namtumbo
11389,LUSENTI,PS1605029,115.0,157.0174,C,"[1, 13, 49, 5, 1]","[1, 9, 29, 6, 1]","[2, 22, 78, 11, 2]",Ruvuma,Namtumbo
11390,LUSEWA,PS1605030,102.0,105.9902,D,"[0, 1, 24, 33, 6]","[0, 0, 14, 22, 2]","[0, 1, 38, 55, 8]",Ruvuma,Namtumbo
11391,MAENDELEO,PS1605094,49.0,140.8163,C,"[0, 1, 19, 3, 0]","[0, 1, 16, 8, 1]","[0, 2, 35, 11, 1]",Ruvuma,Namtumbo
11392,MAGAZINI,PS1605031,98.0,135.1327,C,"[0, 1, 34, 20, 0]","[0, 9, 23, 11, 0]","[0, 10, 57, 31, 0]",Ruvuma,Namtumbo
11393,MAGEUZI,PS1605032,141.0,204.0284,B,"[4, 56, 8, 4, 1]","[1, 56, 7, 4, 0]","[5, 112, 15, 8, 1]",Ruvuma,Namtumbo
11394,MANDELA,PS1605033,106.0,122.0,C,"[0, 2, 23, 27, 0]","[0, 4, 25, 22, 3]","[0, 6, 48, 49, 3]",Ruvuma,Namtumbo
11395,MANDEPWENDE,PS1605034,154.0,119.2403,D,"[0, 0, 36, 47, 0]","[0, 2, 36, 32, 1]","[0, 2, 72, 79, 1]",Ruvuma,Namtumbo
11396,MASUGURU,PS1605035,97.0,122.701,C,"[0, 0, 31, 21, 1]","[0, 3, 19, 21, 1]","[0, 3, 50, 42, 2]",Ruvuma,Namtumbo
11397,MATEPWENDE,PS1605036,73.0,116.0822,D,"[0, 5, 10, 19, 6]","[0, 10, 4, 14, 5]","[0, 15, 14, 33, 11]",Ruvuma,Namtumbo
11398,MAWA,PS1605037,51.0,161.1765,C,"[0, 5, 18, 3, 0]","[0, 8, 15, 2, 0]","[0, 13, 33, 5, 0]",Ruvuma,Namtumbo
11399,MBIMBI,PS1605038,66.0,118.6818,D,"[0, 8, 8, 13, 0]","[0, 7, 5, 20, 5]","[0, 15, 13, 33, 5]",Ruvuma,Namtumbo
11400,MCHOMORO,PS1605039,158.0,134.6203,C,"[0, 18, 46, 32, 0]","[0, 5, 27, 29, 1]","[0, 23, 73, 61, 1]",Ruvuma,Namtumbo
11401,MDWEMA,PS1605040,28.0,127.4643,C,"[0, 1, 5, 8, 0]","[0, 3, 4, 7, 0]","[0, 4, 9, 15, 0]",Ruvuma,Namtumbo
11402,MFUATE,PS1605041,37.0,128.0,C,"[0, 1, 10, 4, 1]","[0, 2, 11, 6, 2]","[0, 3, 21, 10, 3]",Ruvuma,Namtumbo
11403,MGOMBASI,PS1605042,73.0,143.1233,C,"[0, 19, 4, 4, 1]","[0, 11, 11, 19, 4]","[0, 30, 15, 23, 5]",Ruvuma,Namtumbo
11404,MHANGAZI,PS1605043,58.0,108.8793,D,"[0, 0, 13, 17, 0]","[0, 0, 4, 24, 0]","[0, 0, 17, 41, 0]",Ruvuma,Namtumbo
11405,MIGELEGELE,PS1605044,43.0,116.3721,D,"[0, 1, 8, 15, 1]","[0, 1, 8, 9, 0]","[0, 2, 16, 24, 1]",Ruvuma,Namtumbo
11406,MILONJI,PS1605045,77.0,121.039,C,"[0, 2, 12, 24, 0]","[0, 3, 20, 15, 1]","[0, 5, 32, 39, 1]",Ruvuma,Namtumbo
11407,MINAZINI,PS1605046,164.0,155.872,C,"[5, 14, 55, 13, 0]","[5, 17, 31, 22, 2]","[10, 31, 86, 35, 2]",Ruvuma,Namtumbo
11408,MINGWEHA,PS1605047,33.0,145.3636,C,"[0, 1, 5, 5, 0]","[0, 5, 11, 5, 1]","[0, 6, 16, 10, 1]",Ruvuma,Namtumbo
11409,MISUFINI,PS1605048,29.0,134.7586,C,"[0, 0, 13, 5, 0]","[0, 0, 9, 2, 0]","[0, 0, 22, 7, 0]",Ruvuma,Namtumbo
11410,MITORONJI,PS1605049,18.0,128.5556,C,"[0, 0, 7, 4, 0]","[0, 0, 5, 2, 0]","[0, 0, 12, 6, 0]",Ruvuma,Namtumbo
11411,MKAPA,PS1605050,42.0,134.0,C,"[0, 5, 3, 6, 0]","[0, 6, 10, 12, 0]","[0, 11, 13, 18, 0]",Ruvuma,Namtumbo
11412,MKOMANILE,PS1605051,64.0,175.3125,C,"[0, 24, 6, 1, 1]","[0, 6, 25, 1, 0]","[0, 30, 31, 2, 1]",Ruvuma,Namtumbo
11413,MKONGO NAKAWALE,PS1605053,58.0,141.569,C,"[0, 10, 14, 10, 0]","[0, 4, 8, 11, 1]","[0, 14, 22, 21, 1]",Ruvuma,Namtumbo
11414,MKONGO,PS1605052,79.0,130.3038,C,"[0, 2, 24, 23, 1]","[0, 3, 17, 8, 1]","[0, 5, 41, 31, 2]",Ruvuma,Namtumbo
11415,MKUYUNI,PS1605108,15.0,165.6,C,"[0, 3, 3, 0, 1]","[0, 4, 3, 1, 0]","[0, 7, 6, 1, 1]",Ruvuma,Namtumbo
11416,MLAMBICHUMA,PS1605106,27.0,94.1111,D,"[0, 0, 0, 14, 1]","[0, 0, 3, 9, 0]","[0, 0, 3, 23, 1]",Ruvuma,Namtumbo
11417,MLILAYOYO,PS1605054,87.0,128.6092,C,"[0, 4, 28, 14, 0]","[0, 1, 20, 20, 0]","[0, 5, 48, 34, 0]",Ruvuma,Namtumbo
11418,MLINDIMILA,PS1605055,41.0,105.6829,D,"[0, 0, 4, 16, 0]","[0, 0, 8, 11, 2]","[0, 0, 12, 27, 2]",Ruvuma,Namtumbo
11419,MLIWASI,PS1605056,66.0,127.8939,C,"[0, 0, 12, 25, 0]","[0, 2, 23, 4, 0]","[0, 2, 35, 29, 0]",Ruvuma,Namtumbo
11420,MPUTA,PS1605057,31.0,178.2258,C,"[0, 4, 8, 1, 0]","[0, 11, 7, 0, 0]","[0, 15, 15, 1, 0]",Ruvuma,Namtumbo
11421,MSINDO,PS1605058,61.0,154.8197,C,"[1, 15, 8, 4, 0]","[0, 7, 14, 12, 0]","[1, 22, 22, 16, 0]",Ruvuma,Namtumbo
11422,MSISIMA,PS1605059,85.0,100.9176,D,"[0, 0, 11, 25, 6]","[0, 1, 17, 21, 4]","[0, 1, 28, 46, 10]",Ruvuma,Namtumbo
11423,MTAKANINI,PS1605060,38.0,142.4474,C,"[0, 3, 12, 1, 0]","[0, 2, 11, 8, 1]","[0, 5, 23, 9, 1]",Ruvuma,Namtumbo
11424,MTELAWAMWAHI,PS1605061,29.0,143.7931,C,"[0, 0, 15, 5, 0]","[0, 1, 6, 2, 0]","[0, 1, 21, 7, 0]",Ruvuma,Namtumbo
11425,MTONYA,PS1605062,98.0,121.1633,C,"[0, 0, 22, 22, 0]","[0, 5, 22, 25, 2]","[0, 5, 44, 47, 2]",Ruvuma,Namtumbo
11426,MTUMBATIMAJI,PS1605063,62.0,128.0484,C,"[0, 0, 16, 16, 1]","[0, 2, 18, 9, 0]","[0, 2, 34, 25, 1]",Ruvuma,Namtumbo
11427,MTWARA PACHANI,PS1605098,83.0,117.506,D,"[0, 1, 23, 16, 1]","[0, 0, 21, 19, 2]","[0, 1, 44, 35, 3]",Ruvuma,Namtumbo
11428,MUUNGANO,PS1605064,20.0,116.3,D,"[0, 0, 5, 3, 0]","[0, 0, 5, 7, 0]","[0, 0, 10, 10, 0]",Ruvuma,Namtumbo
11429,MWANGAZA,PS1605065,47.0,157.383,C,"[0, 11, 5, 11, 1]","[0, 11, 4, 4, 0]","[0, 22, 9, 15, 1]",Ruvuma,Namtumbo
11430,MWENGE,PS1605095,94.0,180.3298,C,"[1, 34, 21, 1, 1]","[0, 20, 14, 2, 0]","[1, 54, 35, 3, 1]",Ruvuma,Namtumbo
11431,MWINUKO,PS1605066,50.0,129.3,C,"[0, 3, 14, 5, 0]","[0, 0, 14, 12, 2]","[0, 3, 28, 17, 2]",Ruvuma,Namtumbo
11432,NAHIMBA,PS1605067,37.0,154.9459,C,"[0, 3, 10, 6, 0]","[0, 7, 8, 3, 0]","[0, 10, 18, 9, 0]",Ruvuma,Namtumbo
11433,NAHORO,PS1605068,71.0,144.2394,C,"[0, 2, 27, 7, 0]","[0, 3, 24, 8, 0]","[0, 5, 51, 15, 0]",Ruvuma,Namtumbo
11434,NAIKESI,PS1605069,67.0,142.1642,C,"[0, 3, 17, 8, 0]","[0, 6, 24, 9, 0]","[0, 9, 41, 17, 0]",Ruvuma,Namtumbo
11435,NAMABENGO,PS1605070,30.0,129.8667,C,"[0, 1, 11, 2, 0]","[0, 0, 8, 8, 0]","[0, 1, 19, 10, 0]",Ruvuma,Namtumbo
11436,NAMAHOKA,PS1605071,65.0,133.0615,C,"[0, 0, 10, 14, 0]","[0, 10, 18, 13, 0]","[0, 10, 28, 27, 0]",Ruvuma,Namtumbo
11437,NAMALI,PS1605072,37.0,116.5676,D,"[0, 0, 11, 8, 1]","[0, 0, 6, 11, 0]","[0, 0, 17, 19, 1]",Ruvuma,Namtumbo
11438,NAMANGULI,PS1605074,73.0,157.0685,C,"[0, 16, 17, 4, 1]","[0, 3, 27, 5, 0]","[0, 19, 44, 9, 1]",Ruvuma,Namtumbo
11439,NAMANIMA,PS1605073,16.0,122.375,C,"[0, 0, 4, 3, 0]","[0, 1, 3, 5, 0]","[0, 1, 7, 8, 0]",Ruvuma,Namtumbo
11440,NAMBALAMA,PS1605075,28.0,138.8571,C,"[0, 1, 9, 4, 0]","[0, 1, 10, 3, 0]","[0, 2, 19, 7, 0]",Ruvuma,Namtumbo
11441,NAMBECHA,PS1605076,126.0,118.7222,D,"[0, 0, 39, 42, 1]","[0, 4, 24, 15, 1]","[0, 4, 63, 57, 2]",Ruvuma,Namtumbo
11442,NAMBEHE,PS1605077,24.0,152.7083,C,"[1, 4, 2, 2, 0]","[0, 4, 5, 6, 0]","[1, 8, 7, 8, 0]",Ruvuma,Namtumbo
11443,NAMTUMBO,PS1605078,94.0,166.1489,C,"[0, 24, 16, 4, 0]","[0, 15, 29, 6, 0]","[0, 39, 45, 10, 0]",Ruvuma,Namtumbo
11444,NAMWAYA,PS1605080,92.0,122.1304,C,"[0, 1, 22, 22, 2]","[0, 1, 21, 22, 1]","[0, 2, 43, 44, 3]",Ruvuma,Namtumbo
11445,NANGERO,PS1605079,41.0,139.2195,C,"[0, 2, 9, 11, 0]","[0, 6, 9, 3, 1]","[0, 8, 18, 14, 1]",Ruvuma,Namtumbo
11446,NGWINDE,PS1605082,83.0,130.4458,C,"[0, 11, 13, 16, 3]","[0, 10, 6, 20, 4]","[0, 21, 19, 36, 7]",Ruvuma,Namtumbo
11447,NJALAMATATA,PS1605081,84.0,112.631,D,"[0, 1, 21, 27, 0]","[0, 1, 10, 24, 0]","[0, 2, 31, 51, 0]",Ruvuma,Namtumbo
11448,NJUGA,PS1605110,28.0,119.0714,D,"[0, 0, 7, 4, 0]","[0, 1, 8, 8, 0]","[0, 1, 15, 12, 0]",Ruvuma,Namtumbo
11449,NTUNGWE,PS1605101,40.0,150.775,C,"[0, 1, 15, 3, 0]","[0, 5, 12, 4, 0]","[0, 6, 27, 7, 0]",Ruvuma,Namtumbo
11450,NYERERE,PS1605083,68.0,142.0441,C,"[0, 1, 29, 14, 0]","[0, 5, 19, 0, 0]","[0, 6, 48, 14, 0]",Ruvuma,Namtumbo
11451,RWINGA,PS1605084,71.0,149.0282,C,"[0, 3, 18, 15, 0]","[1, 18, 11, 4, 1]","[1, 21, 29, 19, 1]",Ruvuma,Namtumbo
11452,SASAWALA,PS1605085,94.0,114.0745,D,"[0, 0, 14, 36, 1]","[0, 3, 21, 18, 1]","[0, 3, 35, 54, 2]",Ruvuma,Namtumbo
11453,SELOUS,PS1605096,88.0,135.4773,C,"[0, 2, 25, 19, 0]","[0, 6, 25, 11, 0]","[0, 8, 50, 30, 0]",Ruvuma,Namtumbo
11454,SEMENI,PS1605086,17.0,141.9412,C,"[0, 0, 4, 2, 0]","[0, 0, 10, 1, 0]","[0, 0, 14, 3, 0]",Ruvuma,Namtumbo
11455,SONGAMBELE,PS1605087,114.0,114.8684,D,"[0, 0, 25, 38, 0]","[0, 1, 26, 23, 1]","[0, 1, 51, 61, 1]",Ruvuma,Namtumbo
11456,ST AGNES CHIPOLE,PS1605114,41.0,275.0732,A,"[28, 0, 0, 0, 0]","[13, 0, 0, 0, 0]","[41, 0, 0, 0, 0]",Ruvuma,Namtumbo
11457,ST LAURENT,PS1605099,53.0,164.7925,C,"[0, 6, 17, 1, 0]","[0, 8, 20, 1, 0]","[0, 14, 37, 2, 0]",Ruvuma,Namtumbo
11458,ST NICHOLAUS,PS1605111,14.0,237.9286,B,"[2, 2, 0, 0, 0]","[5, 5, 0, 0, 0]","[7, 7, 0, 0, 0]",Ruvuma,Namtumbo
11459,ST XAVIERS,PS1605105,43.0,137.0233,C,"[0, 1, 19, 8, 0]","[0, 2, 8, 5, 0]","[0, 3, 27, 13, 0]",Ruvuma,Namtumbo
11460,SULUTI,PS1605088,147.0,161.3401,C,"[0, 25, 27, 11, 0]","[0, 27, 51, 6, 0]","[0, 52, 78, 17, 0]",Ruvuma,Namtumbo
11461,TUMAINI,PS1605089,56.0,155.2143,C,"[0, 6, 11, 6, 0]","[0, 16, 8, 7, 2]","[0, 22, 19, 13, 2]",Ruvuma,Namtumbo
11462,TUONANE,PS1605090,85.0,114.7529,D,"[0, 0, 20, 14, 0]","[0, 0, 17, 33, 1]","[0, 0, 37, 47, 1]",Ruvuma,Namtumbo
11463,UHURU,PS1605097,90.0,119.2889,D,"[0, 4, 12, 20, 4]","[0, 2, 23, 23, 2]","[0, 6, 35, 43, 6]",Ruvuma,Namtumbo
11464,UKIWAYUYU,PS1605091,20.0,92.85,D,"[0, 0, 1, 6, 0]","[0, 1, 2, 9, 1]","[0, 1, 3, 15, 1]",Ruvuma,Namtumbo
11465,UKOMBOZI,PS1605104,20.0,145.8,C,"[0, 1, 8, 1, 0]","[0, 2, 6, 2, 0]","[0, 3, 14, 3, 0]",Ruvuma,Namtumbo
11466,UPENDO,PS1605103,48.0,131.4375,C,"[0, 0, 17, 4, 0]","[0, 1, 19, 7, 0]","[0, 1, 36, 11, 0]",Ruvuma,Namtumbo
11467,UTWANGO,PS1605092,67.0,132.5522,C,"[0, 3, 23, 7, 0]","[0, 4, 12, 17, 1]","[0, 7, 35, 24, 1]",Ruvuma,Namtumbo
11468,AMANI,PS1606001,30.0,131.7333,C,"[0, 1, 10, 4, 0]","[0, 0, 10, 5, 0]","[0, 1, 20, 9, 0]",Ruvuma,Nyasa
11469,CHIMATE,PS1606002,49.0,154.9796,C,"[0, 4, 18, 5, 0]","[0, 6, 13, 2, 1]","[0, 10, 31, 7, 1]",Ruvuma,Nyasa
11470,CHINULA,PS1606003,68.0,178.7059,C,"[5, 12, 7, 4, 3]","[1, 25, 6, 3, 2]","[6, 37, 13, 7, 5]",Ruvuma,Nyasa
11471,CHIULU,PS1606004,74.0,175.1081,C,"[0, 22, 20, 0, 0]","[0, 13, 16, 3, 0]","[0, 35, 36, 3, 0]",Ruvuma,Nyasa
11472,CHIWINDI,PS1606005,28.0,151.7143,C,"[0, 4, 7, 4, 1]","[0, 5, 4, 3, 0]","[0, 9, 11, 7, 1]",Ruvuma,Nyasa
11473,DAR PORI,PS1606006,38.0,154.9737,C,"[0, 12, 1, 2, 0]","[0, 1, 14, 7, 1]","[0, 13, 15, 9, 1]",Ruvuma,Nyasa
11474,HONGI,PS1606007,67.0,164.2388,C,"[0, 11, 17, 1, 0]","[2, 11, 20, 5, 0]","[2, 22, 37, 6, 0]",Ruvuma,Nyasa
11475,JANGWANI,PS1606008,35.0,186.6857,B,"[0, 6, 10, 0, 0]","[0, 16, 3, 0, 0]","[0, 22, 13, 0, 0]",Ruvuma,Nyasa
11476,KARUME,PS1606009,26.0,176.3462,C,"[0, 4, 7, 0, 0]","[0, 10, 5, 0, 0]","[0, 14, 12, 0, 0]",Ruvuma,Nyasa
11477,KIBAONI,PS1606099,57.0,156.9123,C,"[1, 15, 1, 5, 1]","[3, 11, 5, 8, 7]","[4, 26, 6, 13, 8]",Ruvuma,Nyasa
11478,KIGONGO,PS1606010,50.0,99.04,D,"[0, 0, 8, 11, 0]","[0, 0, 5, 24, 2]","[0, 0, 13, 35, 2]",Ruvuma,Nyasa
11479,KIHAGARA,PS1606011,69.0,233.3333,B,"[13, 22, 1, 0, 0]","[20, 11, 2, 0, 0]","[33, 33, 3, 0, 0]",Ruvuma,Nyasa
11480,KIHANGA,PS1606012,46.0,187.8261,B,"[0, 21, 3, 2, 0]","[0, 13, 4, 3, 0]","[0, 34, 7, 5, 0]",Ruvuma,Nyasa
11481,KIHURUNGA,PS1606013,23.0,148.5652,C,"[0, 8, 2, 2, 0]","[0, 2, 4, 5, 0]","[0, 10, 6, 7, 0]",Ruvuma,Nyasa
11482,KIKOLE,PS1606014,36.0,143.3333,C,"[0, 4, 12, 6, 0]","[0, 4, 9, 1, 0]","[0, 8, 21, 7, 0]",Ruvuma,Nyasa
11483,KILINDINDA,PS1606015,67.0,153.2985,C,"[0, 11, 21, 13, 0]","[0, 3, 16, 3, 0]","[0, 14, 37, 16, 0]",Ruvuma,Nyasa
11484,KILOSA,PS1606016,156.0,170.6731,C,"[0, 44, 33, 1, 0]","[0, 19, 50, 9, 0]","[0, 63, 83, 10, 0]",Ruvuma,Nyasa
11485,KIMBANGO,PS1606017,39.0,128.7179,C,"[0, 1, 11, 10, 0]","[0, 2, 9, 5, 1]","[0, 3, 20, 15, 1]",Ruvuma,Nyasa
11486,KINGERIKITI,PS1606018,101.0,177.1188,C,"[3, 34, 17, 4, 0]","[3, 15, 12, 12, 1]","[6, 49, 29, 16, 1]",Ruvuma,Nyasa
11487,KUHAMBA,PS1606019,61.0,148.7869,C,"[0, 12, 18, 1, 0]","[0, 4, 15, 10, 1]","[0, 16, 33, 11, 1]",Ruvuma,Nyasa
11488,KWAMBE,PS1606020,60.0,174.8333,C,"[0, 24, 4, 4, 1]","[0, 11, 11, 5, 0]","[0, 35, 15, 9, 1]",Ruvuma,Nyasa
11489,LAMI,PS1606101,32.0,132.0313,C,"[0, 4, 10, 6, 0]","[0, 1, 5, 6, 0]","[0, 5, 15, 12, 0]",Ruvuma,Nyasa
11490,LIKWILU,PS1606021,65.0,163.2462,C,"[0, 7, 21, 3, 0]","[0, 14, 15, 5, 0]","[0, 21, 36, 8, 0]",Ruvuma,Nyasa
11491,LIMA,PS1606102,44.0,103.1364,D,"[0, 0, 7, 15, 2]","[0, 3, 3, 7, 7]","[0, 3, 10, 22, 9]",Ruvuma,Nyasa
11492,LINDA,PS1606022,51.0,136.451,C,"[0, 1, 11, 7, 0]","[0, 2, 23, 6, 1]","[0, 3, 34, 13, 1]",Ruvuma,Nyasa
11493,LINDI,PS1606023,59.0,108.8814,D,"[0, 6, 7, 12, 2]","[0, 0, 4, 28, 0]","[0, 6, 11, 40, 2]",Ruvuma,Nyasa
11494,LIPARAMBA,PS1606024,102.0,150.7255,C,"[0, 6, 34, 2, 0]","[0, 13, 31, 15, 1]","[0, 19, 65, 17, 1]",Ruvuma,Nyasa
11495,LIPINGO,PS1606025,109.0,139.1376,C,"[0, 0, 19, 36, 0]","[0, 29, 13, 11, 1]","[0, 29, 32, 47, 1]",Ruvuma,Nyasa
11496,LITIMBA,PS1606026,57.0,179.2105,C,"[0, 16, 17, 0, 0]","[0, 12, 12, 0, 0]","[0, 28, 29, 0, 0]",Ruvuma,Nyasa
11497,LITINDO,PS1606027,79.0,154.2278,C,"[0, 22, 7, 7, 0]","[0, 5, 23, 15, 0]","[0, 27, 30, 22, 0]",Ruvuma,Nyasa
11498,LITOROMELO,PS1606028,14.0,146.3571,C,"[0, 4, 2, 2, 0]","[0, 2, 1, 3, 0]","[0, 6, 3, 5, 0]",Ruvuma,Nyasa
11499,LITUHI,PS1606029,80.0,188.2,B,"[0, 31, 7, 0, 0]","[0, 22, 19, 1, 0]","[0, 53, 26, 1, 0]",Ruvuma,Nyasa
11500,LIWETA,PS1606030,51.0,137.3137,C,"[0, 1, 10, 16, 0]","[0, 12, 7, 3, 2]","[0, 13, 17, 19, 2]",Ruvuma,Nyasa
11501,LIWUNDI,PS1606031,71.0,134.6901,C,"[0, 4, 21, 9, 1]","[0, 3, 18, 14, 1]","[0, 7, 39, 23, 2]",Ruvuma,Nyasa
11502,LUHANGARASI,PS1606032,48.0,119.0625,D,"[0, 0, 14, 12, 0]","[0, 1, 9, 11, 1]","[0, 1, 23, 23, 1]",Ruvuma,Nyasa
11503,LUHINDO,PS1606033,99.0,104.8384,D,"[0, 8, 12, 26, 4]","[0, 3, 6, 36, 4]","[0, 11, 18, 62, 8]",Ruvuma,Nyasa
11504,LULIMBO,PS1606034,36.0,181.0833,B,"[0, 11, 12, 0, 0]","[0, 8, 4, 1, 0]","[0, 19, 16, 1, 0]",Ruvuma,Nyasa
11505,LUMALU,PS1606035,52.0,141.0577,C,"[0, 4, 18, 6, 0]","[0, 3, 10, 11, 0]","[0, 7, 28, 17, 0]",Ruvuma,Nyasa
11506,LUMECHA,PS1606036,44.0,132.4545,C,"[0, 2, 17, 8, 0]","[0, 0, 14, 3, 0]","[0, 2, 31, 11, 0]",Ruvuma,Nyasa
11507,LUMEME,PS1606037,100.0,125.17,C,"[0, 0, 22, 22, 0]","[0, 5, 29, 21, 1]","[0, 5, 51, 43, 1]",Ruvuma,Nyasa
11508,LUNDO,PS1606038,81.0,205.8519,B,"[1, 33, 7, 0, 0]","[0, 33, 7, 0, 0]","[1, 66, 14, 0, 0]",Ruvuma,Nyasa
11509,LUNDU,PS1606039,89.0,164.1685,C,"[1, 18, 7, 12, 2]","[0, 29, 8, 10, 2]","[1, 47, 15, 22, 4]",Ruvuma,Nyasa
11510,LUNYELE,PS1606040,13.0,132.9231,C,"[0, 0, 3, 1, 0]","[0, 1, 4, 4, 0]","[0, 1, 7, 5, 0]",Ruvuma,Nyasa
11511,LUSEWA,PS1606041,17.0,137.8235,C,"[0, 1, 7, 1, 1]","[0, 0, 3, 4, 0]","[0, 1, 10, 5, 1]",Ruvuma,Nyasa
11512,MALAMALA,PS1606042,37.0,178.2703,C,"[0, 15, 3, 3, 0]","[0, 10, 4, 2, 0]","[0, 25, 7, 5, 0]",Ruvuma,Nyasa
11513,MALINI,PS1606043,57.0,167.6667,C,"[0, 13, 17, 2, 0]","[1, 12, 8, 4, 0]","[1, 25, 25, 6, 0]",Ruvuma,Nyasa
11514,MALUNGU,PS1606044,49.0,121.9592,C,"[0, 5, 9, 10, 0]","[0, 4, 4, 16, 1]","[0, 9, 13, 26, 1]",Ruvuma,Nyasa
11515,MANGO,PS1606045,75.0,215.5333,B,"[6, 31, 2, 1, 0]","[13, 14, 4, 2, 2]","[19, 45, 6, 3, 2]",Ruvuma,Nyasa
11516,MAPATO,PS1606046,27.0,116.037,D,"[0, 2, 5, 7, 1]","[0, 0, 6, 6, 0]","[0, 2, 11, 13, 1]",Ruvuma,Nyasa
11517,MAPENDO,PS1606047,49.0,136.4286,C,"[0, 0, 14, 11, 0]","[0, 2, 18, 4, 0]","[0, 2, 32, 15, 0]",Ruvuma,Nyasa
11518,MARUDIO,PS1606048,39.0,150.9231,C,"[0, 6, 9, 9, 0]","[0, 2, 12, 1, 0]","[0, 8, 21, 10, 0]",Ruvuma,Nyasa
11519,MATARAWE,PS1606103,76.0,127.0,C,"[0, 0, 19, 16, 0]","[0, 2, 22, 17, 0]","[0, 2, 41, 33, 0]",Ruvuma,Nyasa
11520,MATENJE,PS1606049,29.0,202.3448,B,"[0, 15, 1, 0, 0]","[0, 11, 2, 0, 0]","[0, 26, 3, 0, 0]",Ruvuma,Nyasa
11521,MAWASILIANO,PS1606050,39.0,136.2564,C,"[0, 3, 10, 5, 0]","[0, 3, 9, 6, 3]","[0, 6, 19, 11, 3]",Ruvuma,Nyasa
11522,MBAHA,PS1606051,67.0,144.5672,C,"[0, 12, 20, 3, 1]","[0, 4, 12, 15, 0]","[0, 16, 32, 18, 1]",Ruvuma,Nyasa
11523,MBAHI,PS1606052,49.0,170.551,C,"[1, 9, 17, 0, 0]","[0, 9, 10, 2, 1]","[1, 18, 27, 2, 1]",Ruvuma,Nyasa
11524,MBAMBA BAY,PS1606053,103.0,220.6116,B,"[18, 27, 7, 2, 1]","[20, 25, 2, 0, 1]","[38, 52, 9, 2, 2]",Ruvuma,Nyasa
11525,MBANGA,PS1606054,47.0,113.6383,D,"[0, 0, 8, 15, 0]","[0, 2, 8, 12, 2]","[0, 2, 16, 27, 2]",Ruvuma,Nyasa
11526,MBUYULA,PS1606055,54.0,151.8704,C,"[0, 7, 16, 7, 0]","[0, 5, 13, 6, 0]","[0, 12, 29, 13, 0]",Ruvuma,Nyasa
