school_id,school_name,num_sitters,average_300,grade,region_name,council_name,num_sitters_girls,num_sitters_boys,ratio_sitters_girls_boys,pct_passed,approx_marks_SD_300,WARD,SCHOOL OWNERSHIP,SCHOOL REG. NUMBER,LATITUDE,LONGITUDE,TOTAL BOYS,TOTAL GIRLS,PTR,PQTR,TOTAL STUDENTS,RATIO GIRLS-BOYS,PBR_average,CG,CG_per_student,approx_ages_SD,approx_ages_mean,ages_median
PS0101142,ST. PIUS,15,223.5333,B,Arusha,Arusha,9,6,1.5,1.0,34.30277766530803,Kiranyi,Non-Government,EM.16993,-3.3554453,36.6781483,84,120,15,23,204,1.4285714285714286,2.3247910358375474,,,1.831497455538076,8.441176470588236,8.5
PS0101103,TRUST ST PATRICK,66,255.8788,A,Arusha,Arusha,23,43,0.5348837209302325,1.0,25.03944460560228,Oloirien,Non-Government,EM.10888,-3.3541965,36.6522091,233,183,14,14,416,0.7854077253218884,0.7236070574609293,,,2.4810999704988648,9.447115384615383,10.0
PS0101096,TURKISH MAARIF,31,212.3226,B,Arusha,Arusha,19,12,1.5833333333333333,1.0,34.006765027533525,Olturumet,Non-Government,EM.12376,-3.3044506,36.6371205,88,110,14,14,198,1.25,1.601176304315839,,,2.3183083524367203,9.717171717171718,10.0
PS0101113,WILKABAA,31,235.2903,B,Arusha,Arusha,16,15,1.0666666666666669,1.0,29.10339403273724,Sokoni II,Non-Government,EM.13886,-3.357785,36.7179266,124,133,29,29,257,1.0725806451612905,13.543839285714284,,,1.924666391024845,9.875486381322958,10.0
PS0101151,WINNERS,21,219.9524,B,Arusha,Arusha,8,13,0.6153846153846154,1.0,33.472667971552355,Oljoro,Non-Government,EM.17412,-3.5563652,36.6400394,114,120,26,26,234,1.0526315789473684,9.08062015503876,,,2.015064892757795,7.871794871794871,8.0
PS0101109,YAKINI,77,244.0519,A,Arusha,Arusha,40,37,1.0810810810810811,1.0,32.73832721466236,Kisongo,Non-Government,EM.14311,-3.3874027,36.5539942,250,276,19,19,526,1.104,1.6001338132152083,,,2.4195158049941146,9.79657794676806,10.0
PS0102047,ANGELICO,44,251.9773,A,Arusha,Arusha CC,24,20,1.2,1.0,23.04525282321612,Sombetini,Non-Government,EM.10889,-3.3852664,36.6709666,194,219,30,30,413,1.1288659793814433,1.6400030310484337,,,2.4326682629605525,9.27360774818402,9.0
PS0102073,ARUSHA ALLIANCE,133,247.2632,A,Arusha,Arusha CC,77,56,1.375,1.0,28.940785673752867,Olasiti,Non-Government,EM.14312,-3.4179135,36.66439,411,437,34,34,848,1.063260340632603,6.151162790697675,,,2.269691224237779,9.869103773584904,10.0
PS0102029,ARUSHA INTERGRATED,30,221.4667,B,Arusha,Arusha CC,14,16,0.875,1.0,39.94472656754025,Elerai,Non-Government,EM.11085,-3.3634187,36.6580771,87,96,13,31,183,1.103448275862069,1.1446211861665,,,2.2695298903382928,10.114754098360656,10.0
PS0102028,ARUSHA MODERN,18,218.4444,B,Arusha,Arusha CC,7,11,0.6363636363636364,1.0,35.95925602867504,Elerai,Non-Government,EM.10890,-3.3605817,36.6609211,61,53,13,13,114,0.8688524590163934,1.7276488095238094,,,2.319176152000401,9.157894736842104,10.0
PS0102001,ARUSHA,171,230.4854,B,Arusha,Arusha CC,83,88,0.9431818181818182,1.0,31.004852712557256,Themi,Government,EM.180,-3.3760433,36.6941067,714,752,42,42,1466,1.0532212885154062,3.446717541000671,,,2.162450344166381,9.471350613915416,9.0
PS0102045,ASSUMPTION,38,244.1842,A,Arusha,Arusha CC,21,17,1.2352941176470589,1.0,29.83359318869379,Oloirien,Non-Government,EM.11563,-3.3828852,36.7086754,111,159,21,21,270,1.4324324324324325,1.786494026888365,,,2.0893616486298945,9.77777777777778,10.0
PS0102113,BARBRA,26,259.7308,A,Arusha,Arusha CC,12,14,0.8571428571428571,1.0,11.490384615384617,Sokoni I,Non-Government,EM.14969,-3.3995088,36.6700833,130,137,22,33,267,1.053846153846154,8.475830564784054,,,2.0422943146609103,8.928838951310862,9.0
PS0102102,BIBLE BAPTIST,15,242.0,A,Arusha,Arusha CC,10,5,2.0,1.0,29.808537181299062,Oloirien,Non-Government,EM.14570,-3.389691,36.71305,84,106,17,17,190,1.261904761904762,1.753488372093023,,,2.2217509503359194,8.74736842105263,8.0
PS0102114,BRIGHT FUTURE,73,255.274,A,Arusha,Arusha CC,34,39,0.8717948717948718,1.0,27.135001621601496,Baraa,Non-Government,EM.15920,-3.380951,36.7362,265,249,32,40,514,0.939622641509434,9.673063695310615,,,2.249916516659092,9.80739299610895,10.0
PS0102097,CAMP JOSHUA,14,212.5,B,Arusha,Arusha CC,7,7,1.0,1.0,27.369495532696355,Sinoni,Non-Government,EM.14970,-3.4052699,36.6662027,61,51,11,12,112,0.8360655737704918,4.164341085271317,,,2.63377723536183,9.973214285714286,10.0
PS0102140,CANOSSA,53,254.5283,A,Arusha,Arusha CC,27,26,1.0384615384615383,1.0,27.42981593851461,Baraa,Non-Government,EM.14315,-3.457314,36.710228,279,315,26,26,594,1.1290322580645162,1.0,,,2.5766860851486597,9.117845117845118,9.0
PS0102126,CARMEL,42,277.2619,A,Arusha,Arusha CC,16,26,0.6153846153846154,1.0,0.0,Olasiti,Non-Government,EM.16674,-3.3657887,36.674446,231,220,27,30,451,0.9523809523809524,1.0,,,2.0681240969884622,9.789356984478935,10.0
PS0102115,CHETI,55,226.5818,B,Arusha,Arusha CC,33,22,1.5,1.0,35.51607888695108,Muriet,Non-Government,EM.14971,-3.4724237,36.6684748,322,309,42,42,631,0.9596273291925466,2.282107039243493,,,1.7621994302746773,9.175911251980985,9.0
PS0102141,CLASSIC,26,259.7308,A,Arusha,Arusha CC,13,13,1.0,1.0,15.921543961883142,Sokoni I,Non-Government,EM.16994,-3.3869256,36.6829952,197,240,40,55,437,1.218274111675127,18.069719009949782,,,2.2450087069257334,8.292906178489703,8.0
PS0102116,DOMINION,58,258.1207,A,Arusha,Arusha CC,28,30,0.9333333333333332,1.0,25.93661669555932,Sokoni I,Non-Government,EM.15195,-3.4190654,36.6615265,203,193,36,36,396,0.9507389162561576,0.997797462012599,,,2.3525488893773323,9.83838383838384,10.0
PS0102127,ELYON,26,238.2308,B,Arusha,Arusha CC,15,11,1.3636363636363635,1.0,29.786481286913048,Baraa,Non-Government,EM.16675,-3.3881652,36.7319431,63,55,15,15,118,0.873015873015873,0.8141133306830981,,,2.401058490129925,9.398305084745765,9.0
PS0102058,ENALEPO,21,224.1429,B,Arusha,Arusha CC,6,15,0.4,0.9523809523809524,43.22872971256914,Daraja Ii,Non-Government,EM.13034,-3.3859827,36.6970378,110,100,18,18,210,0.9090909090909092,1.7543312245014877,,,1.9828973967827483,9.438095238095238,9.0
PS0102037,ENGARENAROK LUTH TETRA,60,217.0667,B,Arusha,Arusha CC,37,23,1.608695652173913,1.0,37.37996413521554,Ngarenaro,Non-Government,EM.10411,-3.361385,36.6712933,292,326,34,34,618,1.1164383561643836,1.7588208280740778,,,2.155962304539172,8.38673139158576,8.0
PS0102128,ERNEST MEYNER,8,223.5,B,Arusha,Arusha CC,5,3,1.6666666666666667,1.0,25.872508938060104,Sekei,Non-Government,EM.16676,-3.3631052,36.6992602,45,49,7,7,94,1.0888888888888888,0.6984632122943019,,,1.964401382894814,8.946808510638299,9.0
PS0102067,ESA,16,197.25,B,Arusha,Arusha CC,12,4,3.0,1.0,31.562867417415912,Sokoni I,Non-Government,EM.14316,-3.401541,36.671321,50,71,15,30,121,1.42,5.691362126245847,,,2.3342389635230822,8.702479338842975,8.0
PS0102129,ESERIAN,23,250.6957,A,Arusha,Arusha CC,10,13,0.7692307692307693,1.0,34.10085952051366,Muriet,Non-Government,EM.15921,-3.4230233,36.6613913,95,100,20,24,195,1.0526315789473684,2.2143886778975697,,,2.211939391379748,9.55897435897436,9.0
PS0102105,GHATI MEMORIAL,154,257.6494,A,Arusha,Arusha CC,78,76,1.0263157894736843,1.0,25.707750024158173,Sinoni,Non-Government,EM.14972,-3.4076327,36.6829956,525,529,31,31,1054,1.0076190476190476,5.934269695115434,,,2.279487931324538,9.142314990512334,9.0
PS0102117,GLORIOUS,33,179.4545,C,Arusha,Arusha CC,20,13,1.5384615384615383,0.9393939393939394,44.5640615127526,Sokoni I,Non-Government,EM.15196,-3.3957777,36.6736666,122,142,24,24,264,1.1639344262295082,5.868217054263567,,,2.3583827346401325,10.049242424242424,10.0
PS0102118,GLORYLAND,47,254.2553,A,Arusha,Arusha CC,28,19,1.4736842105263157,1.0,22.45522177715272,Baraa,Non-Government,EM.15922,-3.3871483,36.7328517,301,275,34,36,576,0.9136212624584718,5.424208264623419,,,2.3279534539914275,8.527777777777779,8.0
PS0102119,GOLGOTHA,48,239.7292,B,Arusha,Arusha CC,25,23,1.0869565217391304,1.0,29.45714725335017,Sokoni I,Non-Government,EM.15403,-3.4064473,36.6675744,185,192,34,42,377,1.037837837837838,2.2110077519379843,,,2.0533690867740826,9.745358090185675,10.0
PS0102106,GOOD HOPE,116,248.75,A,Arusha,Arusha CC,60,56,1.0714285714285714,1.0,29.126863190137176,Sombetini,Non-Government,EM.15197,-3.3999933,36.6678908,464,470,35,35,934,1.012931034482759,1.8063154852861136,,,2.036230591882012,9.767665952890791,10.0
PS0102039,GREEN VALLEY,124,270.7177,A,Arusha,Arusha CC,65,59,1.1016949152542372,1.0,10.556910584172154,Sombetini,Non-Government,EM.12377,-3.3893041,36.6643634,541,568,21,28,1109,1.0499075785582257,5.062040057525693,,,2.1789519730344136,9.279531109107303,10.0
PS0102046,HADY,60,260.2,A,Arusha,Arusha CC,28,32,0.875,1.0,22.267510275935404,Osunyai Jr,Non-Government,EM.12378,-3.3940461,36.6654966,186,160,20,20,346,0.8602150537634409,0.7795820788878244,,,2.2209041062029624,9.135838150289016,9.0
PS0102120,HEALSUN,5,177.8,C,Arusha,Arusha CC,1,4,0.25,1.0,29.39387691339813,Muriet,Non-Government,EM.15923,-3.4557768,36.6526512,27,20,7,9,47,0.7407407407407407,3.763565891472868,,,2.63004887495531,9.617021276595745,9.0
PS0102148,HEAVEN,14,206.2143,B,Arusha,Arusha CC,5,9,0.5555555555555556,0.9285714285714286,33.47249861102852,Moshono,Non-Government,EM.16998,-3.400161,36.740033,79,62,11,18,141,0.7848101265822784,1.0076614987080106,,,2.155725062652285,9.49645390070922,10.0
PS0102049,HIGH VIEW,32,246.9688,A,Arusha,Arusha CC,18,14,1.2857142857142858,1.0,25.872508938060104,Sombetini,Non-Government,EM.13035,-3.3864312,36.6601566,128,120,18,21,248,0.9375,0.9972227377401842,,,2.472428608839182,9.5,9.5
PS0102059,HIGHRIDGE,20,230.55,B,Arusha,Arusha CC,11,9,1.2222222222222223,1.0,38.30946358277546,Themi,Non-Government,EM.10891,-3.3941999,36.7067188,70,75,16,16,145,1.0714285714285714,1.0,,,2.14053234402438,9.786206896551723,10.0
PS0102077,HOPE,25,214.32,B,Arusha,Arusha CC,15,10,1.5,1.0,39.04843914934373,Moshono,Non-Government,EM.13887,-3.396949,36.73812024,91,100,21,21,191,1.098901098901099,1.152504472271914,,,2.260046358970209,9.471204188481677,9.0
PS0102033,IMANI,138,265.1449,A,Arusha,Arusha CC,63,75,0.84,1.0,13.962895665531548,Osunyai Jr,Non-Government,EM.10892,-3.3853796,36.669231,438,388,24,24,826,0.8858447488584474,0.936794445864213,,,2.30692320168372,9.650121065375302,10.0
PS0102101,INTEGRITY,33,213.0909,B,Arusha,Arusha CC,18,15,1.2,1.0,25.25693951317309,Terrat,Non-Government,EM.14973,-3.4443374,36.7090329,79,83,15,20,162,1.0506329113924051,1.4853302319830064,,,2.0614696370482584,9.148148148148149,9.0
PS0102103,INTEL,30,230.3333,B,Arusha,Arusha CC,12,18,0.6666666666666666,1.0,36.54607442059346,Terrat,Non-Government,EM.15198,-3.4575255,36.70095,100,107,19,26,207,1.07,1.0,,,2.2922794398202,9.96135265700483,10.0
PS0102130,JITIHADA,23,254.3043,A,Arusha,Arusha CC,10,13,0.7692307692307693,1.0,20.12267434225157,Muriet,Non-Government,EM.16677,-3.401783,36.72138,100,118,20,31,218,1.18,1.4425319086923047,,,2.3633292849955123,9.564220183486238,9.0
PS0102121,JOSHUA,26,185.4615,B,Arusha,Arusha CC,18,8,2.25,0.9615384615384616,40.52727549652946,Moshono,Non-Government,EM.15924,-3.45472,36.7109652,71,76,11,11,147,1.0704225352112675,1.0,,,2.3862332107510875,9.782312925170068,10.0
PS0102034,KILIMANI,50,226.32,B,Arusha,Arusha CC,25,25,1.0,1.0,28.30409908476156,Sekei,Non-Government,EM.11564,-3.361955,36.701498,127,122,17,21,249,0.9606299212598424,4.704275369614096,,,2.30328200230222,9.93574297188755,10.0
PS0102063,KIMANDOLU LUTH,36,223.0278,B,Arusha,Arusha CC,22,14,1.5714285714285714,1.0,32.68238458191012,Kimandolu,Non-Government,EM.11565,-3.370864,36.71531,163,140,19,19,303,0.8588957055214724,2.2843503711489053,,,1.954157713258153,9.838283828382838,10.0
PS0102122,KING DAVID,39,223.3846,B,Arusha,Arusha CC,20,19,1.0526315789473684,1.0,38.02228013917957,Muriet,Non-Government,EM.15925,-3.4316581,36.672023,190,173,30,30,363,0.9105263157894736,20.962255444813582,,,2.035982278578917,8.490358126721762,8.0
PS0102078,LADY OF MERCY,28,259.7143,A,Arusha,Arusha CC,14,14,1.0,1.0,15.387977764926667,Kimandolu,Non-Government,EM.13888,-3.3887586,36.716045,133,143,28,46,276,1.075187969924812,1.2508856281530698,,,2.210525032650568,9.326086956521738,9.0
